source_module,target_module,source_path,target_path
mediapipeline.core.config.library_profile_normalization,mediapipeline.core.validation.strict_json,src/mediapipeline/core/config/library_profile_normalization.py,src/mediapipeline/core/validation/strict_json.py
mediapipeline.core.config.library_profile_promotion,mediapipeline.core.config.library_profile_defaults,src/mediapipeline/core/config/library_profile_promotion.py,src/mediapipeline/core/config/library_profile_defaults.py
mediapipeline.core.config.library_profile_promotion,mediapipeline.core.config.library_profile_normalization,src/mediapipeline/core/config/library_profile_promotion.py,src/mediapipeline/core/config/library_profile_normalization.py
mediapipeline.core.config.library_profile_promotion,mediapipeline.core.kernel.config_keys,src/mediapipeline/core/config/library_profile_promotion.py,src/mediapipeline/core/kernel/config_keys.py
mediapipeline.core.config.library_profile_promotion,mediapipeline.core.validation.strict_json,src/mediapipeline/core/config/library_profile_promotion.py,src/mediapipeline/core/validation/strict_json.py
mediapipeline.core.config.library_profile_state,mediapipeline.core.config.library_profile_defaults,src/mediapipeline/core/config/library_profile_state.py,src/mediapipeline/core/config/library_profile_defaults.py
mediapipeline.core.config.library_profile_state,mediapipeline.core.config.library_profile_normalization,src/mediapipeline/core/config/library_profile_state.py,src/mediapipeline/core/config/library_profile_normalization.py
mediapipeline.core.config.library_profile_state,mediapipeline.core.config.library_profile_promotion,src/mediapipeline/core/config/library_profile_state.py,src/mediapipeline/core/config/library_profile_promotion.py
mediapipeline.core.config.library_profile_state,mediapipeline.core.kernel.config_keys,src/mediapipeline/core/config/library_profile_state.py,src/mediapipeline/core/kernel/config_keys.py
mediapipeline.core.config.library_profile_validation,mediapipeline.core.config.library_profile_defaults,src/mediapipeline/core/config/library_profile_validation.py,src/mediapipeline/core/config/library_profile_defaults.py
mediapipeline.core.config.library_profile_validation,mediapipeline.core.config.library_profile_normalization,src/mediapipeline/core/config/library_profile_validation.py,src/mediapipeline/core/config/library_profile_normalization.py
mediapipeline.core.config.library_profile_validation,mediapipeline.core.config.library_profile_state,src/mediapipeline/core/config/library_profile_validation.py,src/mediapipeline/core/config/library_profile_state.py
mediapipeline.core.config.library_profile_validation,mediapipeline.core.config.numeric_policy,src/mediapipeline/core/config/library_profile_validation.py,src/mediapipeline/core/config/numeric_policy.py
mediapipeline.core.config.library_profile_validation,mediapipeline.core.config.option_policy,src/mediapipeline/core/config/library_profile_validation.py,src/mediapipeline/core/config/option_policy.py
mediapipeline.core.config.library_profile_validation,mediapipeline.core.kernel.config_keys,src/mediapipeline/core/config/library_profile_validation.py,src/mediapipeline/core/kernel/config_keys.py
mediapipeline.core.config.library_profile_wizard,mediapipeline.core.config.library_profile_defaults,src/mediapipeline/core/config/library_profile_wizard.py,src/mediapipeline/core/config/library_profile_defaults.py
mediapipeline.core.config.library_profile_wizard,mediapipeline.core.config.library_profile_normalization,src/mediapipeline/core/config/library_profile_wizard.py,src/mediapipeline/core/config/library_profile_normalization.py
mediapipeline.core.config.library_profile_wizard,mediapipeline.core.kernel.config_keys,src/mediapipeline/core/config/library_profile_wizard.py,src/mediapipeline/core/kernel/config_keys.py
mediapipeline.core.config.library_profiles,mediapipeline.core.config.library_profile_compatibility,src/mediapipeline/core/config/library_profiles.py,src/mediapipeline/core/config/library_profile_compatibility.py
mediapipeline.core.config.library_profiles,mediapipeline.core.config.library_profile_defaults,src/mediapipeline/core/config/library_profiles.py,src/mediapipeline/core/config/library_profile_defaults.py
mediapipeline.core.config.library_profiles,mediapipeline.core.config.library_profile_normalization,src/mediapipeline/core/config/library_profiles.py,src/mediapipeline/core/config/library_profile_normalization.py
mediapipeline.core.config.library_profiles,mediapipeline.core.config.library_profile_promotion,src/mediapipeline/core/config/library_profiles.py,src/mediapipeline/core/config/library_profile_promotion.py
mediapipeline.core.config.library_profiles,mediapipeline.core.config.library_profile_state,src/mediapipeline/core/config/library_profiles.py,src/mediapipeline/core/config/library_profile_state.py
mediapipeline.core.config.library_profiles,mediapipeline.core.config.library_profile_validation,src/mediapipeline/core/config/library_profiles.py,src/mediapipeline/core/config/library_profile_validation.py
mediapipeline.core.config.library_profiles,mediapipeline.core.config.library_profile_wizard,src/mediapipeline/core/config/library_profiles.py,src/mediapipeline/core/config/library_profile_wizard.py
mediapipeline.core.config.load,mediapipeline.contracts.config,src/mediapipeline/core/config/load.py,src/mediapipeline/contracts/config.py
mediapipeline.core.config.load,mediapipeline.tools.paths,src/mediapipeline/core/config/load.py,src/mediapipeline/tools/paths.py
mediapipeline.core.config.metadata,mediapipeline.contracts.config,src/mediapipeline/core/config/metadata.py,src/mediapipeline/contracts/config.py
mediapipeline.core.config.metadata,mediapipeline.core.config.metadata_choices,src/mediapipeline/core/config/metadata.py,src/mediapipeline/core/config/metadata_choices.py
mediapipeline.core.config.metadata,mediapipeline.core.config.metadata_layout,src/mediapipeline/core/config/metadata.py,src/mediapipeline/core/config/metadata_layout.py
mediapipeline.core.config.metadata,mediapipeline.core.config.metadata_network,src/mediapipeline/core/config/metadata.py,src/mediapipeline/core/config/metadata_network.py
mediapipeline.core.config.metadata,mediapipeline.core.config.metadata_parts.field_definitions,src/mediapipeline/core/config/metadata.py,src/mediapipeline/core/config/metadata_parts/field_definitions.py
mediapipeline.core.config.metadata,mediapipeline.core.config.metadata_parts.policy,src/mediapipeline/core/config/metadata.py,src/mediapipeline/core/config/metadata_parts/policy.py
mediapipeline.core.config.metadata,mediapipeline.core.config.metadata_support,src/mediapipeline/core/config/metadata.py,src/mediapipeline/core/config/metadata_support.py
mediapipeline.core.config.metadata_parts.advanced_fields,mediapipeline.core.config.metadata_parts.policy,src/mediapipeline/core/config/metadata_parts/advanced_fields.py,src/mediapipeline/core/config/metadata_parts/policy.py
